Name,Date (Galactic Calendar),Type,Release date,3D timeline,Status,Link,Remarks
Jedi Fallen Order - Dark Temple,42 BBY,Comic,2019,,,Link,Prologue - 14 BBY
Master & Apprentice,40-32 BBY,Novel,2019,,,Link,
Darth Maul,32 BBY,Comic,2017,,-,Link,Events before Episode I
Queen's Peril,32 BBY,Novel,2020,,,Link,Events concurrent to Episode I
★ Episode I: The Phantom Menace,32 BBY,Movie,1999,,Complete,Link,
Obi-Wan and Anakin,29 BBY,Comic,2016,,-,Link,
Queen's Shadow,28 BBY,Novel,2019,,,Link,
Dooku: Jedi Lost,22 BBY,AudioBook,2019,,-,Link,
★ Episode II: Attack of the Clones,22 BBY,Movie,2002,,May 9,Link,
Jedi of the Republic – Mace Windu,22 BBY,Comic,2017,,-,Link,
The Clone Wars (film) ,22 BBY,Movie,2008,,May 16,Link,
The Clone Wars,22-19 BBY,Series,2008-2020,,May-June,Link,
Queen's Hope,22-19 BBY,Novel,2021 TBR,,,Link,Padme's story during the clone wars
Catalyst: A Rogue One Novel,21-17 BBY,Novel,2016,,-,Link,
Darth Maul: Son of Dathomir,19 BBY,Comic,2014,,-,Link,Continuation of Maul's story from the movie
Dark Disciple,19 BBY,Novel,2015,,-,Link,Veintress's story
Thrawn Ascendancy: Chaos Rising,19 BBY,Novel,2020,,-,Link,
Thrawn Ascendancy: Greater Good,19 BBY,Novel,2021,,-,Link,
Thrawn Ascendancy: Lesser Evil,,Novel,2021 TBR,,-,Link,
★ Episode III: Revenge of the Sith,19 BBY,Movie,2005,,May 23,,
Darth Vader: Dark Lord of the Sith,19-12 BBY,Comic,2017-2018,,-,Link,
Age of Rebellion - Darth Vader,19-14 BBY,Comic,2019,,,Link,
Kanan,19-18 BBY,Comic,2015-2016,,-,Link,Comic series of 2 books
"Age of Rebellion Special - ""The Long Game""",19-5 BBY,Comic,2019,,,Link,Age of Rebellion Special
Adventures in Wild Space: The Escape,18 BBY,Junior Novel,2016,,-,Link,
Ahsoka,18 BBY,Novel,2016,,-,Link,
The Bad Batch,19-5 BBY,Series,2021,,Ongoing,,
Lords of the Sith,14 BBY,Novel,2015,,-,Link,
Tarkin,14 BBY,Novel,2015,,-,Link,
Jedi: Fallen Order,14 BBY,Game,2019,,-,Link,
Most Wanted,13 BBY,Novel,2018,,-,Link,Set shortly before event of Solo
Solo,13-10 BBY,Movie,2018,,Complete,Link,
Han Solo - Imperial Cadet,13-10 BBY,Comic,,,-,Link,
Rebel Rising,13-0 BBY,Novel,2017,,-,Link,Jyn Erso story till Rogue One
Lost stars,11-5 BBY,Novel,2015,,-,Link,
Thrawn,11-2 BBY,Novel,2017,,-,Link,
A New Dawn,11 BBY,Novel,2014,,,Link,Prequel to Rebels
Lando's Luck,10 BBY,Junior Novel,2018,,-,Link,
Lando: Double or Nothing,10 BBY,Comic,2018,,,Link,
Age of Rebellion - Jabba the Hutt,10 BBY - 4 ABY,Comic,2019,,,Link,
Obi-Wan Kenobi,9 BBY,Series,2022 TBR,,-,Link,
Andor,5 BBY,Series,2022 TBR,,-,Link,
Servants of the Empire: Edge of the Galaxy,6-5 BBY,Junior Novel,2014,,-,Link,"Concurrent to events of Rebels, but before zare's appearance in Rebels"
Servants of the Empire: Rebel in the Ranks ,5 BBY,Junior Novel,2015,,-,Link,
Servants of the Empire: Imperial Justice,5 BBY,Junior Novel,2015,,-,Link,
Servants of the Empire: The Secret Academy,5 BBY,Junior Novel,2015,,-,Link,
Rebels,5-1 BBY,Series,2014-2018,,Completed,,
"Leia, Princess of Alderaan",3 BBY,Novel,2017,,-,Link,
The Mighty Chewbacca in the Forest of Fear!,2-0 BBY,Junior Novel,2018,,- ,Link,
Secrets of the Empire,2-0 BBY,VR,2017,,-,Link,VR ad
Vader Immortal,2-0 BBY,VR,2019,,-,Link,
"Age of Rebellion Special - ""Stolen Valor""",2-0 BBY,Comic,2019,,,Link,Age of Rebellion Special
Age of Rebellion - Boba Fett,2 BBY - 4 ABY,Comic,2019,,,Link,
Thrawn: Alliances,2 BBY,Novel,2018,,-,Link,"Set during Rebels season, some parts in 19 BBY"
